DateTime,NO2(myg/m3),NOx(myg/m3),O3(myg/m3),CO(mg/m3),SO2(myg/m3),PM10(myg/m3),PM2.5(myg/m3)
2020/10/1 00:00:00,9.12,11.74,67.99,0.14,0.59,10.7,6.8
2020/10/1 00:30:00,13.62,16.98,65.4,0.15,0.35,9.9,6.4
2020/10/1 01:00:00,6.9,8.84,71.07,0.14,0.29,14.7,7.5
2020/10/1 01:30:00,7.11,9.33,70.35,0.14,0.19,14,8.2
2020/10/1 02:00:00,5.45,6.77,70.23,0.13,0.59,10.2,5.9
2020/10/1 02:30:00,8.47,11.7,64.42,0.14,0.45,10.8,6.3
2020/10/1 03:00:00,7.73,13.37,,0.13,0.48,11.6,5.9
2020/10/1 03:30:00,7.27,10.23,63.18,0.16,0.43,13,6
2020/10/1 04:00:00,7.65,11.17,63.08,0.15,0.45,12.3,6.9
2020/10/1 04:30:00,24.88,41.5,54.62,0.17,0.48,21.2,6.7
2020/10/1 05:00:00,35.34,70.78,43.75,0.21,0.67,22.4,7.5
2020/10/1 05:30:00,58.16,122.02,31.87,0.29,0.82,24.5,7.8
2020/10/1 06:00:00,,,,,,26.8,8.3
2020/10/1 06:30:00,54.22,117.39,29.68,0.29,0.32,24.4,8.5
2020/10/1 07:00:00,52.69,121.16,29.6,0.26,0.59,24.6,7.9
2020/10/1 07:30:00,53.61,111.35,34.59,0.26,0.45,25.4,7.7
2020/10/1 08:00:00,61.98,132.92,27.1,0.28,0.8,26.7,9.2
2020/10/1 08:30:00,54.33,113.12,32.17,0.25,0.64,22.6,7.7
2020/10/1 09:00:00,44.81,103.49,34.63,0.23,0.4,26.2,9
2020/10/1 09:30:00,48.77,136.88,28.56,0.25,0.61,29.1,9.5
2020/10/1 10:00:00,47.03,116.91,28.68,0.28,0.75,25.6,7.1
2020/10/1 10:30:00,64.55,170.9,27.92,0.26,0.88,29.3,9
2020/10/1 11:00:00,47.56,113.51,25.43,0.25,0.53,28.5,9.1
2020/10/1 11:30:00,46.61,130.7,21.99,0.3,0.8,45,11.8
2020/10/1 12:00:00,46.84,112.84,22.85,0.31,0.77,54.7,12.7
2020/10/1 12:30:00,48.33,119.07,20.36,0.31,0.61,57.7,12.5
2020/10/1 13:00:00,37.98,108.23,21.43,0.34,0.37,53.9,13
2020/10/1 13:30:00,34.31,96.96,25.45,0.33,0.37,56.7,15
2020/10/1 14:00:00,39.65,99.01,24.83,0.4,0.69,50.8,13.8
2020/10/1 14:30:00,34.52,83.63,27.66,0.29,0.75,57.1,14.9
2020/10/1 15:00:00,28.92,63.63,34.11,0.36,0.69,62.8,15.4
2020/10/1 15:30:00,29.41,67.51,33.93,0.29,0.77,60,16.1
2020/10/1 16:00:00,30.54,65.2,34.81,0.33,0.75,56.3,17.8
2020/10/1 16:30:00,32.8,74.11,34.84,0.34,0.53,54.1,18.1
2020/10/1 17:00:00,24.61,53.32,39.73,0.29,0.37,53.3,18.8
2020/10/1 17:30:00,27.06,57.18,39.02,0.24,0.24,57,15.5
2020/10/1 18:00:00,28.06,57.68,39.69,0.29,0.35,63.1,15.6
2020/10/1 18:30:00,23.98,46.65,42.11,0.25,0.48,83.7,17.6
2020/10/1 19:00:00,20.06,39.65,43.99,0.24,0.19,106.5,19.8
2020/10/1 19:30:00,20.33,39.21,42.91,0.22,0,99.3,20.6
2020/10/1 20:00:00,18.4,33.76,43.93,0.24,0,77.9,18.4
2020/10/1 20:30:00,26.53,52.04,41.85,0.21,0.29,63.9,16.8
2020/10/1 21:00:00,25.95,45,43.03,0.28,0.48,60.2,17.2
2020/10/1 21:30:00,18.88,31.33,44.46,0.22,0.37,55.5,17.1
2020/10/1 22:00:00,17.1,24.59,44.56,0.21,0.51,52.2,16.1
2020/10/1 22:30:00,13.77,19.83,47.84,0.17,0.43,49.8,16.3
2020/10/1 23:00:00,12.01,18.26,47.34,0.19,0.43,43.8,13.9
2020/10/1 23:30:00,8.91,13.6,49.23,0.17,0.67,44.4,12.8
2020/10/2 00:00:00,5.74,9.54,49.59,0.17,0.61,48.3,14.7
