DateTime,NO2(myg/m3),NOx(myg/m3)
2020/10/1 00:00:00,8.51,11.19
2020/10/1 00:30:00,7.52,8.19
2020/10/1 01:00:00,4.76,5.97
2020/10/1 01:30:00,5.14,6.73
2020/10/1 02:00:00,5.76,8.17
2020/10/1 02:30:00,6.23,7.92
2020/10/1 03:00:00,6.18,7.48
2020/10/1 03:30:00,4.63,6.94
2020/10/1 04:00:00,7.17,10.52
2020/10/1 04:30:00,8.05,14.55
2020/10/1 05:00:00,,
2020/10/1 05:30:00,30.37,64.64
2020/10/1 06:00:00,28.08,66.61
2020/10/1 06:30:00,30.45,69.8
2020/10/1 07:00:00,40.2,90.46
2020/10/1 07:30:00,33.14,77.9
2020/10/1 08:00:00,32.53,71.16
2020/10/1 08:30:00,33.41,65.98
2020/10/1 09:00:00,26.77,54.5
2020/10/1 09:30:00,21.44,46.65
2020/10/1 10:00:00,27.98,69
2020/10/1 10:30:00,33.87,80.52
2020/10/1 11:00:00,25.3,56.86
2020/10/1 11:30:00,34.77,77.82
2020/10/1 12:00:00,21.59,46.84
2020/10/1 12:30:00,22.89,49.57
2020/10/1 13:00:00,29.53,60.59
2020/10/1 13:30:00,24.84,57.62
2020/10/1 14:00:00,25.28,57.6
2020/10/1 14:30:00,23.94,57.5
2020/10/1 15:00:00,25.38,56.94
2020/10/1 15:30:00,19.39,39.15
2020/10/1 16:00:00,18.9,48.16
2020/10/1 16:30:00,14.25,31.96
2020/10/1 17:00:00,15.05,34.33
2020/10/1 17:30:00,14.27,26.66
2020/10/1 18:00:00,16.05,32.23
2020/10/1 18:30:00,12.7,25.67
2020/10/1 19:00:00,13.02,24.73
2020/10/1 19:30:00,9.56,18.19
2020/10/1 20:00:00,8.57,15.9
2020/10/1 20:30:00,11.07,19.58
2020/10/1 21:00:00,11.51,17.86
2020/10/1 21:30:00,10.5,17.35
2020/10/1 22:00:00,9.87,15.63
2020/10/1 22:30:00,6.79,10.82
2020/10/1 23:00:00,5.39,7.5
2020/10/1 23:30:00,3.54,4.69
2020/10/2 00:00:00,3.63,6.1
2020/10/2 00:30:00,4.49,5.6
2020/10/2 01:00:00,5.24,6.69
2020/10/2 01:30:00,4.36,5.24
2020/10/2 02:00:00,5.85,6.58
2020/10/2 02:30:00,5.03,7.8
2020/10/2 03:00:00,,
2020/10/2 03:30:00,7.55,10.96
2020/10/2 04:00:00,12.51,19.91
2020/10/2 04:30:00,9.89,15.7
2020/10/2 05:00:00,15.3,27.98
2020/10/2 05:30:00,20.33,45.61
2020/10/2 06:00:00,,
2020/10/2 06:30:00,36.85,89.73
2020/10/2 07:00:00,43.49,102.2
2020/10/2 07:30:00,29.78,72.14
2020/10/2 08:00:00,24.37,51.92
2020/10/2 08:30:00,25.07,61.3
2020/10/2 09:00:00,22.99,58.43
2020/10/2 09:30:00,25.13,58.2
2020/10/2 10:00:00,20.06,51.3
2020/10/2 10:30:00,34.81,79.45
2020/10/2 11:00:00,22.91,50.45
2020/10/2 11:30:00,21.69,47.7
2020/10/2 12:00:00,19.74,47.3
2020/10/2 12:30:00,18.84,43.76
2020/10/2 13:00:00,19.47,47.3
2020/10/2 13:30:00,19.97,43.47
2020/10/2 14:00:00,21.23,48.48
2020/10/2 14:30:00,23.35,51.12
2020/10/2 15:00:00,21.67,51.68
2020/10/2 15:30:00,22.15,43.74
2020/10/2 16:00:00,21.11,47.51
2020/10/2 16:30:00,16.96,33.93
2020/10/2 17:00:00,17.37,35.55
2020/10/2 17:30:00,10.1,18.7
