DateTime,NO2(myg/m3),NOx(myg/m3),O3(myg/m3),CO(mg/m3)
2020/10/1 00:00:00,6.79,6.56,73.42,0.15
2020/10/1 00:30:00,5.93,6.04,74.18,0.14
2020/10/1 01:00:00,3.84,3.33,77.05,0.15
2020/10/1 01:30:00,3.71,3.5,75.08,0.15
2020/10/1 02:00:00,4.09,3.31,,0.15
2020/10/1 02:30:00,4.46,4.57,70.81,0.15
2020/10/1 03:00:00,4.21,4.11,67.95,0.15
2020/10/1 03:30:00,2.85,2.96,67.18,0.15
2020/10/1 04:00:00,3.16,2.51,67.87,0.15
2020/10/1 04:30:00,5.18,5.66,65.84,0.15
2020/10/1 05:00:00,,,,
2020/10/1 05:30:00,5.24,4.88,67.3,0.15
2020/10/1 06:00:00,7.08,6.96,64.86,0.15
2020/10/1 06:30:00,8.11,8.72,64.08,0.15
2020/10/1 07:00:00,6.18,6.71,64.78,0.15
2020/10/1 07:30:00,7.8,8.53,64.72,0.15
2020/10/1 08:00:00,9.45,10.31,62.01,0.15
2020/10/1 08:30:00,8.07,9.45,63.36,0.15
2020/10/1 09:00:00,5.7,6.27,61.63,0.15
2020/10/1 09:30:00,6.79,8.03,56.16,0.15
2020/10/1 10:00:00,7.65,9.7,53.82,0.15
2020/10/1 10:30:00,8.68,10.86,49.91,0.16
2020/10/1 11:00:00,6.41,7.23,52.71,0.15
2020/10/1 11:30:00,6.56,7.52,48.24,0.16
2020/10/1 12:00:00,6.81,7.23,43.07,0.18
2020/10/1 12:30:00,6.98,9.01,40.09,0.18
2020/10/1 13:00:00,19.18,25.63,27.46,0.17
2020/10/1 13:30:00,7.29,9.31,40.75,0.18
2020/10/1 14:00:00,6.41,7.8,44.01,0.17
2020/10/1 14:30:00,8.49,9.54,43.99,0.18
2020/10/1 15:00:00,5.87,6.58,48.44,0.18
2020/10/1 15:30:00,5.85,6.56,49.19,0.18
2020/10/1 16:00:00,5.85,6.29,50.05,0.18
2020/10/1 16:30:00,6.77,7.15,50.99,0.18
2020/10/1 17:00:00,5.41,5.7,52.77,0.18
2020/10/1 17:30:00,5.91,6.69,54.98,0.17
2020/10/1 18:00:00,5.11,5.16,55.36,0.17
2020/10/1 18:30:00,5.58,5.53,55.24,0.17
